,Unnamed: 0,id,alias,name,is_closed,phone,address1,address2,address3,city,zip_code,country,state,display_address,latitude,longitude
0,0,o6NdncTT1i33x1e-gf6NIA,retirement_homes,Wynwood of Columbia Edgewater,False,15099464600,1629 George Washington Way,,,Richland,99354,US,WA,"['1629 George Washington Way', 'Richland, WA 99354']",46.29651,-119.27561999999999
1,1,DVviphFeWFFSlQcLPYOHYQ,retirement_homes,Emeritus at Richland Gardens,False,15093022209,770 W Gage Blvd,,,Richland,99352,US,WA,"['770 W Gage Blvd', 'Richland, WA 99352']",46.227866999999996,-119.270256
2,2,hjkwyk2rgzDVvfWvMyG5VA,hospice;retirement_homes,Moses Lake,False,15093022210,8425 Aspi Blvd. NE,,,Moses Lake,98837,US,WA,"['8425 Aspi Blvd. NE', 'Moses Lake, WA 98837']",47.162160241493304,-119.309808358896
3,3,HN7mkytRLtYKPLecVjSJAw,retirement_homes,Hawthorne Court,False,15097838313,524 N Ely St,,,Kennewick,99336,US,WA,"['524 N Ely St', 'Kennewick, WA 99336']",46.215603,-119.157643
4,4,bSj0OGyaP3cpGeu7tHmYEQ,retirement_homes,Solstice Senior Living at Kennewick,False,15097344331,8264 W Grandridge Blvd,,,Kennewick,99336,US,WA,"['8264 W Grandridge Blvd', 'Kennewick, WA 99336']",46.222344,-119.23448700000002
6,6,it7q7L9fG_m8qQ-wc-bWDA,retirement_homes,From The Heart,False,15095421733,4408 Artesia Dr,,,Pasco,99301,US,WA,"['4408 Artesia Dr', 'Pasco, WA 99301']",46.273765999999995,-119.148422
8,8,NSBMOAiOr_K5k38hr25JxQ,retirement_homes,Fieldstone Memory Care,False,15094913945,575 N Young St,,,Kennewick,99336,US,WA,"['575 N Young St', 'Kennewick, WA 99336']",46.2151567,-119.2187949
18,18,T1pNEt5dv8PyqBFj1XsD1g,retirement_homes,Mountain Glen Retirement Community,False,13604247900,1810 E Division St,,,Mt. Vernon,98274,US,WA,"['1810 E Division St', 'Mt. Vernon, WA 98274']",48.42029,-122.31737
19,19,Uvtq0sdFFjp6pXmAq94IXA,physicaltherapy;hospice;retirement_homes,Mira Vista Care Center,False,13604241320,300 S 18th St,,,Mount Vernon,98274,US,WA,"['300 S 18th St', 'Mount Vernon, WA 98274']",48.419116973877,-122.317611694336
20,20,Lts1KIUlD1aR34_9fTAfww,retirement_homes;apartments,Vintage At Mount Vernon,False,13608488533,1000 Vintage Ln,,,Mount Vernon,98273,US,WA,"['1000 Vintage Ln', 'Mount Vernon, WA 98273']",48.439846038818395,-122.328025817871
21,21,DYfKuq4xviVACJ4SEHOX0A,retirement_homes,Josephine Sunset Home,False,13606299505,9901 272nd Pl NW,,,Stanwood,98292,US,WA,"['9901 272nd Pl NW', 'Stanwood, WA 98292']",48.244411468505895,-122.367294311523
