,Unnamed: 0,id,alias,name,is_closed,phone,address1,address2,address3,city,zip_code,country,state,display_address,latitude,longitude
1,1,y6YuUcNslbfniQmelWdSpA,skillednursing;rehabilitation_center;occupationaltherapy,Avalon Care Center - Pullman,False,15093321566,1310 NW Deane St,,,Pullman,99163,US,WA,"['1310 NW Deane St', 'Pullman, WA 99163']",46.7417595,-117.17316470000002
3,3,g1IrMTSVGu4x_yzkFPe2rA,skillednursing;rehabilitation_center,Pacific Care and Rehabilitation,False,13605327882,3035 Cherry St,,,Hoquiam,98550,US,WA,"['3035 Cherry St', 'Hoquiam, WA 98550']",46.97707,-123.85468999999999
4,4,5_n1jLRG3AVW6KQDy90eDQ,homehealthcare;skillednursing;personalcare,ResCare HomeCare - Aberdeen,False,13609143012,100 S I St,Ste 203,,Aberdeen,98520,US,WA,"['100 S I St', 'Ste 203', 'Aberdeen, WA 98520']",46.975719,-123.817581
6,6,95q1XqXf0pUudXTPJTcfRQ,skillednursing;rehabilitation_center;hospice,Shelton Health and Rehabilitation Center,False,13604272575,153 Johns Ct,,,Shelton,98584,US,WA,"['153 Johns Ct', 'Shelton, WA 98584']",47.233709999999995,-123.11013999999999
8,8,eeIRilYf1ZlUcl1f_qqMDw,occupationaltherapy;speech_therapists;skillednursing,Life Care Center of Port Orchard,False,13608768035,2031 Pottery Ave,,,Port Orchard,98366,US,WA,"['2031 Pottery Ave', 'Port Orchard, WA 98366']",47.51688,-122.65162
9,9,oeZmoqBNwgSaruVUDt_HlQ,homehealthcare;skillednursing,The Personal Touch,False,13608953980,1386 SE Lund Ave,,,Port Orchard,98366,US,WA,"['1386 SE Lund Ave', 'Port Orchard, WA 98366']",47.518654,-122.63306899999999
11,11,6ry5ZUD6FetBdC9y3wxmeg,physicaltherapy;homehealthcare;skillednursing,Kindred at Home,False,12086675470,1230 Northwood Center Ct,Ste C,,Coeur d'Alene,83814,US,ID,"['1230 Northwood Center Ct', 'Ste C', ""Coeur d'Alene, ID 83814""]",47.69770812988279,-116.80348968505899
14,14,iYgcD6nAkHwjaMqocs0JIQ,skillednursing,Ans Alternative Nursing Services,False,15093151235,1315 N Napa St,,,Spokane,99202,US,WA,"['1315 N Napa St', 'Spokane, WA 99202']",47.66997,-117.38155
15,15,QjGjUiHwhsuyoKb1ZXYK2Q,skillednursing;rehabilitation_center,Life Care Centers of Post Falls,False,12087770318,460 N Garden Plaza Ct,,,Post Falls,83854,US,ID,"['460 N Garden Plaza Ct', 'Post Falls, ID 83854']",47.71386,-116.909876
16,16,jjUvgp2Wi-r6jZ3ECNKUaQ,rehabilitation_center;skillednursing;occupationaltherapy,Advanced Post Acute,False,12538331740,414 17th St SE,,,Auburn,98002,US,WA,"['414 17th St SE', 'Auburn, WA 98002']",47.293327331543,-122.223731994629
18,18,wk3MDEHaNs-KoW7gfGs0Ag,hospice;occupationaltherapy;skillednursing,Garden Terrace Healthcare Center of Federal Way,False,12536612226,491 S 338th St,,,Federal Way,98003,US,WA,"['491 S 338th St', 'Federal Way, WA 98003']",47.29811,-122.326431
19,19,B0JIkXyi6Ep-KL7MFdaeKQ,occupationaltherapy;skillednursing;speech_therapists,Hallmark Manor,False,12538743580,32300 1st Ave S,,,Federal Way,98003,US,WA,"['32300 1st Ave S', 'Federal Way, WA 98003']",47.31252,-122.3339
20,20,bn2nLgdY6WNSadpdiw6n6g,skillednursing;rehabilitation_center;hospice,Enumclaw Health and Rehabilitation Center,False,13608252541,2323 Jensen St,,,Enumclaw,98022,US,WA,"['2323 Jensen St', 'Enumclaw, WA 98022']",47.20964,-121.98633000000001
21,21,LdRlFa-cytg5O_qYWtzazA,rehabilitation_center;skillednursing,Avalon Care Center - Federal Way,False,12538357453,135 S 336th St,,,Federal Way,98003,US,WA,"['135 S 336th St', 'Federal Way, WA 98003']",47.298759999999994,-122.33126999999999
22,22,gfhSES_Ds2ePTERsqYZMsg,skillednursing;hospitals,Noble Physicians,False,12537375764,4508 Auburn Way N,Ste C,,Auburn,98002,US,WA,"['4508 Auburn Way N', 'Ste C', 'Auburn, WA 98002']",47.3481101989746,-122.222846984863
23,23,-VaeRgVQbNxA2ajfthk6UA,homehealthcare;skillednursing;personalcare,ResCare HomeCare - Federal Way,False,12536421023,34709 9th Ave S,Ste 600,,Federal Way,98003,US,WA,"['34709 9th Ave S', 'Ste 600', 'Federal Way, WA 98003']",47.290838761763105,-122.32296406139
24,24,11ILkfe9ljItQ9oGAjfi4w,homehealthcare;skillednursing;personalcare,ResCare HomeCare - Tacoma,False,12532426978,3600 Port Of Tacoma Rd,Ste 305,,Fife,98424,US,WA,"['3600 Port Of Tacoma Rd', 'Ste 305', 'Fife, WA 98424']",47.24572,-122.38755
26,26,K7i1ccwLf8v_E0Fwojaj2Q,homehealthcare;skillednursing;memorycare,At Tessa's Adult Care Home,False,14257721824,5425 172nd St SW,,,Lynnwood,98037,US,WA,"['5425 172nd St SW', 'Lynnwood, WA 98037']",47.84325,-122.30718999999999
28,28,-YLaHJFUd7_iic13lRBxkg,rehabilitation_center;physicaltherapy;skillednursing,Aldercrest Health & Rehabilitation Center,False,14257751961,21400 72nd Ave W,,,Edmonds,98026,US,WA,"['21400 72nd Ave W', 'Edmonds, WA 98026']",47.80456160000001,-122.3308716
29,29,DiN00t26wcf9RdZc9HTf3A,homehealthcare;skillednursing,CareForce,False,14257121999,19401 40th Ave W,Ste 205,,Lynnwood,98036,US,WA,"['19401 40th Ave W', 'Ste 205', 'Lynnwood, WA 98036']",47.82285,-122.28611000000001
30,30,V77zjfhC5zGiZfkr0Fm4lA,rehabilitation_center;skillednursing;memorycare,Prestige Post-Acute And Rehab Center - Edmonds,False,14257780107,21008 76th Ave W,,,Edmonds,98026,US,WA,"['21008 76th Ave W', 'Edmonds, WA 98026']",47.808640000000004,-122.33656
31,31,heKICwvyhqZKVLNSxuw-Jw,personalcare;skillednursing;homehealthcare,Home Attendant Care,False,13607343849,1151 Ellis St,Ste 204,,Bellingham,98225,US,WA,"['1151 Ellis St', 'Ste 204', 'Bellingham, WA 98225']",48.742393,-122.47197299999999
33,33,-0SvIYUSlzs_aQ9GPMF1wA,skillednursing;physicaltherapy;rehabilitation_center,Issaquah Nursing & Rehabilitation Center,False,14253921271,805 Front St S,,,Issaquah,98027,US,WA,"['805 Front St S', 'Issaquah, WA 98027']",47.52122,-122.03483
35,35,aVpmlOKLoQqMvy9nT8a7pQ,rehabilitation_center;skillednursing;physicaltherapy,Mission Healthcare,False,14258978800,2424 156th Ave NE,,,Bellevue,98007,US,WA,"['2424 156th Ave NE', 'Bellevue, WA 98007']",47.6323013305664,-122.131797790527
36,36,UB-kOhI5XFRVIoPyeleozA,homehealthcare;personalcare;skillednursing,Husky Senior Care,False,14252414900,11900 NE 1st St,Ste 300,,Bellevue,98005,US,WA,"['11900 NE 1st St', 'Ste 300', 'Bellevue, WA 98005']",47.61152,-122.18218999999999
37,37,h2in1ro4dIJJIYK8hD9Htg,skillednursing;rehabilitation_center,Park West Care Center,False,12069379750,1703 California Ave SW,,,Seattle,98116,US,WA,"['1703 California Ave SW', 'Seattle, WA 98116']",47.58767,-122.38671000000001
38,38,cM-QcJ0pgVAM3Lr_c1Qhxg,rehabilitation_center;skillednursing;physicaltherapy,Burien Nursing & Rehabilitation Center,False,12062423213,1031 SW 130th St,,,Seattle,98146,US,WA,"['1031 SW 130th St', 'Seattle, WA 98146']",47.4860903,-122.348199
42,42,Hwmi6L4TMiv_u8xuiXf_Vw,skillednursing;rehabilitation_center,Park Ridge Skilled Nursing Center,False,12063635856,1250 NE 145th St,,,Shoreline,98155,US,WA,"['1250 NE 145th St', 'Shoreline, WA 98155']",47.7346855,-122.313741
43,43,3kkOo_ndFgmyvhdIntGvDg,homehealthcare;skillednursing;physicaltherapy,Kindred at Home,False,12067297773,155 NE 100th St,Ste 510,,Seattle,98125,US,WA,"['155 NE 100th St', 'Ste 510', 'Seattle, WA 98125']",47.7008171081543,-122.326873779297
45,45,3QemTQkdhDPNE3qsh5JH9Q,skillednursing;physicaltherapy;occupationaltherapy,The Oaks at Forest Bay,False,12065337822,16357 Aurora Ave N,,,Shoreline,98133,US,WA,"['16357 Aurora Ave N', 'Shoreline, WA 98133']",47.7481,-122.34633999999998
48,48,irgIx9yjudKOb0DaB60c7w,physicaltherapy;occupationaltherapy;skillednursing,Saint Anne Nursing & Rehab Center,False,12063637733,3540 NE 110th St,,,Seattle,98125,US,WA,"['3540 NE 110th St', 'Seattle, WA 98125']",47.7088318,-122.28887179999998
50,50,R5AtFrokfXVZ3s95snGWmA,rehabilitation_center;hospice;skillednursing,Snohomish Health and Rehabilitation,False,13605683161,800 10th St,,,Snohomish,98290,US,WA,"['800 10th St', 'Snohomish, WA 98290']",47.925144195556605,-122.091011047363
57,57,NH957NXg4EROTLif2bsq5Q,rehabilitation_center;skillednursing,Richmond Beach Rehab,False,12065462666,19235 15th Ave NW,,,Shoreline,98177,US,WA,"['19235 15th Ave NW', 'Shoreline, WA 98177']",47.769314,-122.37768600000001
59,59,xKH3Vq96U1MueqUF47lqqQ,rehabilitation_center;skillednursing,CRISTA Rehab & Skilled Care,False,12065467400,19301 Kings Garden Dr N,,,Shoreline,98133,US,WA,"['19301 Kings Garden Dr N', 'Shoreline, WA 98133']",47.768448299999996,-122.35202779999999
71,71,0l-3d6pErtY3RT31c97Nlg,occupationaltherapy;skillednursing;physicaltherapy,Stafford Healthcare,False,12068240600,2800 S 224th St,,,Des Moines,98198,US,WA,"['2800 S 224th St', 'Des Moines, WA 98198']",47.401210999999996,-122.29614299999999
74,74,1RzJXeFrh9PYBibsdG8wOA,physicaltherapy;occupationaltherapy;skillednursing,Cottesmore of Life Care,False,12538515433,2909 14th Ave NW,,,Gig Harbor,98335,US,WA,"['2909 14th Ave NW', 'Gig Harbor, WA 98335']",47.284948,-122.55628200000001
75,75,N7V4a7zEerza1GEX0YINQA,skillednursing,Avamere Transitional Care of Puget Sound,False,12536717300,630 S Pearl St,,,Tacoma,98465,US,WA,"['630 S Pearl St', 'Tacoma, WA 98465']",47.25468,-122.51655
80,80,w06ZUkm-wWfxvkzFqR4Hmw,occupationaltherapy;rehabilitation_center;skillednursing,Wesley Des Moines Health Center,False,12068243663,1122 S 216th St,,,Des Moines,98198,US,WA,"['1122 S 216th St', 'Des Moines, WA 98198']",47.409259999999996,-122.318999
81,81,2LImIe2keFyiOVFX2oloGw,homehealthcare;skillednursing;personalcare,ResCare HomeCare - Kent,False,12532593287,26404 104th Ave SE,Ste 100,,Kent,98030,US,WA,"['26404 104th Ave SE', 'Ste 100', 'Kent, WA 98030']",47.365,-122.20183999999999
85,85,qMlDBvswixgWv-jJMMEdaw,skillednursing,University Place Care Center,False,12535667166,5520 Bridgeport Way W,,,University Pl,98467,US,WA,"['5520 Bridgeport Way W', 'University Pl, WA 98467']",47.20697,-122.53486000000001
88,88,G57kfAnjpNohtIP6IEKBUA,skillednursing;rehabilitation_center,Emerald Care,False,15098773175,209 N Ahtanum Ave,,,Wapato,98951,US,WA,"['209 N Ahtanum Ave', 'Wapato, WA 98951']",46.44924,-120.42671000000001
89,89,GNnZckhozhquWViaFcgJag,homehealthcare;skillednursing;personalcare,ResCare HomeCare - Wenatchee,False,15092553532,801 Eastmont Ave,Ste D,,East Wenatchee,98802,US,WA,"['801 Eastmont Ave', 'Ste D', 'East Wenatchee, WA 98802']",47.41780090332029,-120.28192138671899
111,111,XtOIHE7rqGG9Z8de9HFbOg,rehabilitation_center;skillednursing;memorycare,Avamere Rehabilitation of Cascade Park,False,13602602200,801 SE Park Crest Ave,,,Vancouver,98683,US,WA,"['801 SE Park Crest Ave', 'Vancouver, WA 98683']",45.6156999,-122.52053000000001
112,112,UiuriOrhsQWl6JzHY6OV4Q,skillednursing;memorycare;rehabilitation_center,Marquis Centennial,False,15036653118,725 SE 202nd,,,Portland,97030,US,OR,"['725 SE 202nd', 'Portland, OR 97030']",45.51729,-122.45597
114,114,zWLWjOYO8aimAFifBkhtGQ,hospice;skillednursing;rehabilitation_center,Fort Vancouver Post Acute,False,13602545335,8507 NE 8th Way,,,Vancouver,98664,US,WA,"['8507 NE 8th Way', 'Vancouver, WA 98664']",45.62661,-122.58485
116,116,sQbTWeb4iOa6Hd7OQvE_Uw,skillednursing;rehabilitation_center,Regency Gresham Skilled Nursing & Rehabilitation Center,False,15036651151,5905 SE Powell Valley Rd,,,Gresham,97080,US,OR,"['5905 SE Powell Valley Rd', 'Gresham, OR 97080']",45.4886322021484,-122.373489379883
118,118,bFljBD9VpUiUz05uY3jVqg,rehabilitation_center;skillednursing,Marquis Tualatin Post Acute Rehab,False,15036125400,19945 SW Boones Ferry Rd,,,Tualatin,97062,US,OR,"['19945 SW Boones Ferry Rd', 'Tualatin, OR 97062']",45.376202,-122.76778700000001
120,120,W_Nc_YQAl5_yPr8RfVRDpA,hospice;skillednursing;rehabilitation_center,Portland Health and Rehabilitation Center,False,15032557040,12441 SE Stark St,,,Portland,97233,US,OR,"['12441 SE Stark St', 'Portland, OR 97233']",45.5198173522949,-122.53479766845699
121,121,xJBW_pTlgG8oIW1g8IMXNg,skillednursing;memorycare;rehabilitation_center,Marquis Oregon City,False,15036552588,1680 Molalla Ave,,,Oregon City,97045,US,OR,"['1680 Molalla Ave', 'Oregon City, OR 97045']",45.333179473877,-122.588706970215
124,124,idpGjfcYbdo6KiolPmCtgg,homehealthcare;skillednursing;physicaltherapy,Kindred at Home,False,13602537746,204 SE Stone Mill Dr,Ste 260,,Vancouver,98684,US,WA,"['204 SE Stone Mill Dr', 'Ste 260', 'Vancouver, WA 98684']",45.621047,-122.534203
127,127,571NRTOzoxTn5dKITsWPjQ,homehealthcare;skillednursing;rehabilitation_center,Healthy Living at Home - Portland,False,18887434979,16083 Sw Upper Boones Ferry Rd,Ste 100,,Portland,97224,US,OR,"['16083 Sw Upper Boones Ferry Rd', 'Ste 100', 'Portland, OR 97224']",45.403869,-122.751099
128,128,VcG6eHeKHveqJsWHeWMMog,homehealthcare;personalcare;skillednursing,BrightStar Care West Portland,False,15036206011,1675 SW Marlow Ave,Ste 405,,Portland,97225,US,OR,"['1675 SW Marlow Ave', 'Ste 405', 'Portland, OR 97225']",45.50796,-122.78565
160,160,uhjXSsQG5FrM9nXGRcH52Q,rehabilitation_center;skillednursing,Regency North Bend Rehab & Nursing Center,False,14258882129,219 Cedar Ave S,,,North Bend,98045,US,WA,"['219 Cedar Ave S', 'North Bend, WA 98045']",47.49347,-121.78618
200,200,sbBsRzFiqpIxISp6Kd_DYg,physicaltherapy;retirement_homes;skillednursing,Avamere Rehabilitation of King City,False,15036205141,16485 SW Pacific Hwy,,,Portland,97224,US,OR,"['16485 SW Pacific Hwy', 'Portland, OR 97224']",45.400527000000004,-122.799687
