,id,alias,name,is_closed,phone,address1,address2,address3,city,zip_code,country,state,display_address,latitude,longitude
0,J0CFrI-XQEK1d31pAO-lpQ,assistedliving;memorycare,Aegis Living Bellevue,FALSE,14252983979,148 102nd Ave SE,,,Bellevue,98004,US,WA,"['148 102nd Ave SE', 'Bellevue, WA 98004']",47.60897,-122.20324
1,P6YYWxMZJ2uWuRzTw8_K8g,assistedliving,Aegis Living Mercer Island,FALSE,12064875290,7445 SE 24th St,,,Mercer Island,98040,US,WA,"['7445 SE 24th St', 'Mercer Island, WA 98040']",47.5883,-122.23945
2,JhIeCDekqr0ad3JnVWiQ_g,assistedliving,Island House Assisted Living,FALSE,12062370003,7810 SE 30th St,,,Mercer Island,98040,US,WA,"['7810 SE 30th St', 'Mercer Island, WA 98040']",47.58408737,-122.2326813
3,QzzQVNULzHN3vkJE1KmSMQ,homehealthcare;personalcare;assistedliving,Care 4 All,FALSE,14252389960,,,,Snohomish,98296,US,WA,"['Snohomish, WA 98296']",47.86456299,-122.1438751
4,gTLDnYaK8cNk7IeSzGa7gg,homehealthcare;assistedliving;skillednursing,A1 Senior Care Advisors,FALSE,14253245592,16301 NE 8th St,Ste 121,,Bellevue,98008,US,WA,"['16301 NE 8th St', 'Ste 121', 'Bellevue, WA 98008']",47.616568,-122.123054
5,cMAtF1h3aHsxYfbxsiU5Mw,homehealthcare;assistedliving;rehabilitation_center,Magnolia Care,FALSE,14255990889,1113 E John St,,,Seattle,98102,US,WA,"['1113 E John St', 'Seattle, WA 98102']",47.61973,-122.31749
6,g37Y_WmgPcJI9bf_kPV2Og,assistedliving;retirement_homes;skillednursing,Covenant Living at the Shores,FALSE,12063168042,9150 Fortuna Dr,,,Mercer Island,98040,US,WA,"['9150 Fortuna Dr', 'Mercer Island, WA 98040']",47.58242566,-122.2163997
7,KfuN7rGIkNeHtR06k84B0Q,homehealthcare;assistedliving;personalcare,Visiting Angels,FALSE,14258284500,12020 113th Ave NE,"Bldg C, Ste 180",,Kirkland,98034,US,WA,"['12020 113th Ave NE', 'Bldg C, Ste 180', 'Kirkland, WA 98034']",47.708045,-122.189759
8,qrC1cMnKjoqc8Kd72dPGUA,assistedliving;homehealthcare;retirement_homes,Bonney Lake Comfort Care,FALSE,12062262778,7035 Locust Ave E,,,Bonney Lake,98391,US,WA,"['7035 Locust Ave E', 'Bonney Lake, WA 98391']",47.19239,-122.181
9,W_zb8I5DPoexD7TVPn5V3A,assistedliving;homehealthcare;hospice,Haven in Allyn,FALSE,13602770636,180 E Wheelwright St,,,Allyn,98524,US,WA,"['180 E Wheelwright St', 'Allyn, WA 98524']",47.38088226,-122.8366394
10,0dZNhaJqvBvWD2dRjwd0Rg,retirement_homes;assistedliving;memorycare,Silverado Bellingham Memory Care Community,FALSE,13607466675,4400 Columbine Dr,,,Bellingham,98226,US,WA,"['4400 Columbine Dr', 'Bellingham, WA 98226']",48.7997941,-122.4971972
11,XfVLzvC5Rk3YxiwVVAKU1Q,assistedliving,Highgate Senior Living,FALSE,13606711459,155 E Kellogg Rd,,,Bellingham,98226,US,WA,"['155 E Kellogg Rd', 'Bellingham, WA 98226']",48.794728,-122.483224
12,Er_ACN1CG-wEDsi8bzZvWQ,assistedliving,Pacifica Retirement Residence,FALSE,16045359194,2525 King George Highway,,,Surrey,V4P 0C8,CA,BC,"['2525 King George Highway', 'Surrey, BC V4P 0C8', 'Canada']",49.04778,-122.79683
13,AteRhqvjFukRZz1w78kNWw,retirement_homes;assistedliving;memorycare,Cordata Court,FALSE,13607158822,4415 Columbine Dr,,,Bellingham,98226,US,WA,"['4415 Columbine Dr', 'Bellingham, WA 98226']",48.79915,-122.49789
14,QmNSlqpdrrkZV1vwDITDtg,retirement_homes;assistedliving,Spring Creek by Bonaventure,FALSE,13606841731,223 East Bakerview Rd,,,Bellingham,98226,US,WA,"['223 East Bakerview Rd', 'Bellingham, WA 98226']",48.78876,-122.48141
