,id,alias,name,is_closed,phone,address1,address2,address3,city,zip_code,country,state,latitude,longitude
0,gT-SkbPvgKv6MdCqljcGfA,florists;homedecor;eventplanning,Flowers For The People,FALSE,14258185030,10129 Main St,Ste 107B,,Bellevue,98004,US,WA,47.60998149,-122.2047303
1,OrYiDK3tdrcmhq5qFacvmA,homedecor;kitchenandbath;officeequipment,The Container Store,FALSE,14254537120,700 Bellevue Way NE,,,Bellevue,98004,US,WA,47.616632,-122.200824
2,SmKvSo961Hu1gCtNuAwZ4A,mattresses,Mattress Depot USA,FALSE,14256440056,14603 NE 20th St,,,Bellevue,98007,US,WA,47.62676,-122.14458
3,a4tYIDAbwuZRxcvFuRABmg,appliances,Arnold's Appliance,FALSE,14254547929,14404 NE 20th St,Ste 100,,Bellevue,98007,US,WA,47.62859,-122.1478
4,ToN9byCrLL_iRoQsQ9ECjw,furniture;homedecor;beer_and_wine,Cost Plus World Market,FALSE,14252013405,15600 NE 8th St,,,Bellevue,98008,US,WA,47.620707,-122.130936
5,4Z9a7_OVe2RQ7Zhchw1yXQ,contractors;decksrailing;kitchenandbath,NW Quality Construction,FALSE,14252236163,,,,Bellevue,98007,US,WA,47.64363861,-122.1449738
6,05YrF_8yhLM5Ez8nobidrA,appliances,Albert Lee Appliance-Bellevue,FALSE,14254511110,1038 116th Ave NE,Ste 370,,Bellevue,98004,US,WA,47.6200418,-122.1840629
7,nW989qXSSrFR_gfPH8IYgA,florists;gardening;floraldesigners,Lawrence The Florist,FALSE,14254546622,224 105th Ave NE,,,Bellevue,98004,US,WA,47.6126999,-122.19982
8,Vz8I2q0f98PJnXTzEEnu0w,hardware;hobbyshops;artsandcrafts,TAP Plastics,FALSE,14255027225,12021 NE Northup Way,,,Bellevue,98005,US,WA,47.630905,-122.179847
9,xtoq4Iy6YpoepZWF69KTGw,kitchenandbath;buildingsupplies;contractors,Discount Tile Outlet,FALSE,14256544144,1405 132nd Ave NE,Ste 1,,Bellevue,98005,US,WA,47.6228159,-122.1651194
10,VoOPgTPI3sI4sqbCRozYGg,appliances,Baratza,FALSE,14256411245,1940 124th Ave NE,Ste A108/A109,,Bellevue,98005,US,WA,47.6279906,-122.1742431
11,hGRi7tVy6sQcCZyR8u6gsQ,mattresses;furniture,Quality Sleep Mattress Store Bellevue,FALSE,14254498090,12121 Northup Way,Ste 207,,Bellevue,98005,US,WA,47.630428,-122.1788232
12,qJ0WrIpMrOmHfI4sqUJDDw,furniture;kitchenandbath;homedecor,Crate & Barrel,FALSE,14256468900,555 Bellevue Sq,,Bellevue Square,Bellevue,98004,US,WA,47.61719,-122.202298
13,Ji0NI910HSqGoNIB_zTOsQ,mattresses;furniture,Mattress Firm Bellevue,FALSE,14256434277,2337 148th Ave NE,,,Bellevue,98007,US,WA,47.63110859,-122.1436049
14,JtdbADpztKmkYR53jj2QHQ,gourmet;kitchenandbath,Oil & Vinegar,FALSE,14254548497,2086 Bellevue Square,,Bellevue Square Shopping Ctr,Bellevue,98004,US,WA,47.61596141,-122.2049803
15,YoFgkBdmVFb7MxnDl9S7bQ,interiordesign;furniture;home_organization,California Closets - Bellevue,FALSE,18668573335,1048 116th Ave NE,Ste 160,,Bellevue,98004,US,WA,47.6202383,-122.1846708
16,CzeT526S2zUTZ0Hl58_VCA,homedecor;flowers,glassybaby Bellevue,FALSE,14252562927,10230 Main St,,,Bellevue,98004,US,WA,47.61041,-122.20347
17,IEvY-GXH6PY0-o5UnCIWBQ,buildingsupplies;hardware,Dunn Lumber,FALSE,14256434400,2350 140th Ave NE,,,Bellevue,98005,US,WA,47.63118,-122.15326
18,3bBJOVhfs4PdW2of_Qv2jA,jewelry;accessories;homedecor,Fireworks Gallery,FALSE,14256880933,196 Bellevue Sq,,,Bellevue,98004,US,WA,47.6151119,-122.2030977
19,GmNfANPaJXFhg0bY99isFg,gardening,Bellevue Nursery,FALSE,14254545531,842 104th Ave SE,,,Bellevue,98004,US,WA,47.60178,-122.20105
20,_4tYvuvF8Mt35ih87N8nSA,hobbyshops;homeappliancerepair;appliances,Quality Sewing & Vacuum,FALSE,14254015100,14315 NE 20th St,,,Bellevue,98007,US,WA,47.62701,-122.15033
21,#NAME?,carpeting;rugs,Oriental Rug Gallery,FALSE,14254542114,10202 Main St,,,Bellevue,98004,US,WA,47.61038971,-122.2039566
22,fJaBCcomIyppoqnQ1hyM6A,hardware;appliances;gardening,The Home Depot,FALSE,14254517351,325 120th Ave NE,,,Bellevue,98005,US,WA,47.61237274,-122.181943
23,wBJrVsR2G1IBHxkLPXQfcg,mattresses;furniture,Mattress Firm Downtown Bellevue,FALSE,14254529703,833 Bellevue Way NE,,,Bellevue,98004,US,WA,47.61805273,-122.2021674
24,oaeXiZsQl5_U1pQ3_DkKMw,mattresses,The 6 Day Mattress Store,FALSE,14253761936,16005 Redmond Way,,,Redmond,98052,US,WA,47.67461089,-122.1262493
25,UF2SULnhgRrHyzWq2kdp9g,furniture;mattresses,Mattress Firm Crossroads Bellevue,FALSE,14257322479,15600 NE 8th St,Ste K7,,Bellevue,98008,US,WA,47.6196907,-122.1312141
26,T3qEAUdJDf2jQJ3rmdvM8w,deptstores;furniture;electronics,Target,FALSE,14255620830,4053 Factoria Square Mall SE,,,Bellevue,98006,US,WA,47.57399933,-122.172947
27,ktloL7wiK6fS0cK99wWFMA,hardware,Harbor Freight Tools,FALSE,14257461303,14506 NE 20th St,Ste 1,,Bellevue,98007,US,WA,47.62824,-122.14622
28,zKkkamDztcbMFa74Zp6rKA,furniture;homedecor;mattresses,Greenbaum Home Furnishings,FALSE,14254542474,929 118th Ave SE,,,Bellevue,98005,US,WA,47.600767,-122.183604
