,id,alias,name,is_closed,phone,address1,address2,address3,city,zip_code,country,state,display_address,latitude,longitude
0,oOEPisWe-QV0rnC99JSGFQ,burgers;greek;fishnchips,Nick's Jr Burgers and Gyros,False,+14253476037,5821 Evergreen Way,,,Everett,98203,US,WA,"['5821 Evergreen Way', 'Everett, WA 98203']",47.9444847106934,-122.216117858887
1,QWSdb3uhETxg9d72AWotmA,indpak;desserts;salad,Curries,False,+14252651200,7318 Evergreen Way,,,Everett,98203,US,WA,"['7318 Evergreen Way', 'Everett, WA 98203']",47.932079,-122.220429
2,GT_bctIitslFMogVcAvrcg,pizza;italian,Brooklyn Bros Pizzeria,False,+14252586900,1919 Hewitt Ave,,,Everett,98201,US,WA,"['1919 Hewitt Ave', 'Everett, WA 98201']",47.97951,-122.2032
3,3hXXr89PEqv8SPjKsvZHsA,coffee;breakfast_brunch;cafes,Narrative Coffee,False,+14253224648,2927 Wetmore Ave,,,Everett,98201,US,WA,"['2927 Wetmore Ave', 'Everett, WA 98201']",47.9783802,-122.2068856
4,TfihDuLP4AbeD2Hes5EWOQ,mexican,TACO-BOOK Taqueria,False,+14252582762,1130 Broadway Ave,,,Everett,98201,US,WA,"['1130 Broadway Ave', 'Everett, WA 98201']",48.0019027847861,-122.201538272202
5,vTX_3jPuxvx8lLHV7WiABA,sushi;japanese,Oshima Sushi,False,+14253569999,11108 Evergreen Way,Ste B,,Everett,98204,US,WA,"['11108 Evergreen Way', 'Ste B', 'Everett, WA 98204']",47.897002,-122.25247
6,ng4YFcnpXYnrkS2K0v5oUg,breakfast_brunch;diners;tradamerican,Totem Family Dining,False,+14252523277,4410 Rucker Ave,,,Everett,98203,US,WA,"['4410 Rucker Ave', 'Everett, WA 98203']",47.9589996337891,-122.210914611816
7,j_RBH80BQUiaZJ_RaDf3_A,japanese,Kai Sushi,False,+14253747949,2811 Colby Ave,Ste A,,Everett,98201,US,WA,"['2811 Colby Ave', 'Ste A', 'Everett, WA 98201']",47.9802142069574,-122.208409756422
8,UU_kp52WpqPmomLEDG2_-w,vietnamese;korean;asianfusion,Chops,False,+14252129295,7405 Hardeson Rd,,,Everett,98203,US,WA,"['7405 Hardeson Rd', 'Everett, WA 98203']",47.9309735698167,-122.24799413234
9,Sk4HgzQvvVrFsMOO7PB95w,vietnamese,Basil Authentic Vietnamese Cuisine ,False,+14253748082,909 SE Everett Mall Way,Ste D400,,Everett,98208,US,WA,"['909 SE Everett Mall Way', 'Ste D400', 'Everett, WA 98208']",47.910932,-122.220203
10,NR0jIGzbYyHtEiU7pw2-iQ,sandwiches;cheesesteaks,Philly Ya Belly,False,+14257100130,12432 Hwy 99,Ste 65,,Everett,98204,US,WA,"['12432 Hwy 99', 'Ste 65', 'Everett, WA 98204']",47.88512,-122.26433
11,8zvU5CU6RRQdo8KHmFBXjA,korean;chicken_wings;sandwiches,9 Delicacies,False,+14255128167,520 128th St,Ste B8,,Everett,98204,US,WA,"['520 128th St', 'Ste B8', 'Everett, WA 98204']",47.88109,-122.24094
12,PPm3TR8AAanbprKqIR7cAQ,thai,All Rice Thai Hut,False,+14252639956,520 128th St SW,,,Everett,98204,US,WA,"['520 128th St SW', 'Everett, WA 98204']",47.8805117834512,-122.239393293858
13,fNQb8rJWgq0YnYuZbBUwrg,asianfusion,Terracotta Red,False,+14253225132,2820 Hewitt Ave,,,Everett,98201,US,WA,"['2820 Hewitt Ave', 'Everett, WA 98201']",47.9788055419922,-122.19263458252
14,FpIk9VsHo_42Ytw92exqbA,newmexican,The New Mexicans,False,+14255129705,1416 Hewitt Ave,,,Everett,98201,US,WA,"['1416 Hewitt Ave', 'Everett, WA 98201']",47.9791499510788,-122.210503220558
